systematic gene name	gene name	total 1		total2		selective 1    		selective 2		ratio 1	ratio 2	average	average [log2]	no. of included values
YAL001C	TFC3	322.2600105510479	included	344.06786513216144	included	294.6810537164588	included	270.62342437870296	included	0.9144201702611797	0.7865408304688745	0.8504805003650271	-0.2336499364227757	4 of 4	
YAL002W	VPS8	126.43159637977197	included	138.64608942627737	included	206.23478226228818	included	192.51079717579444	included	1.6311965376345123	1.388505063304787	1.5098508004696498	0.5944059932209614	4 of 4	
YAL003W	EFB1	151321.75653395115	included	148170.99487340567	included	172885.31837264056	included	143271.23001572225	included	1.1425013978994576	0.966931686853627	1.0547165423765423	0.07685532324057374	4 of 4	
YAL004W	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL005C	SSA1	85465.5853245179	included	81678.1121885906	included	85664.19477719051	included	105216.75816862627	included	1.0023238529510852	1.2881879288013676	1.1452558908762263	0.19566998369509153	4 of 4	
YAL007C	ERP2	2722.6042713210795	included	3087.588891737347	included	760.0080891763606	included	730.1085628749746	included	0.2791474681730315	0.236465600983605	0.25780653457831826	-1.9556392629788937	4 of 4	
YAL008W	FUN14	990.0631709806252	included	997.907106154186	included	324.8631544075774	included	300.73586571301587	included	0.3281236631454648	0.3013665940029386	0.31474512857420167	-1.6677440458905792	4 of 4	
YAL009W	SPO7	206.66703254385766	excluded	225.1613877358567	excluded	94.98807704069453	excluded	97.98143317162356	excluded	0.45961891391911636	0.4351609046155303	0.44738990926732336	-1.1603953776368752	0 of 4	
YAL010C	MDM10	187.32976634092384	included	260.24845641296105	included	192.6228806862376	included	183.3570679235065	included	1.0282555967943758	0.7045462265203846	0.8664009116573802	-0.20689333388607903	4 of 4	
YAL011W	SWC3	241.61286019800224	included	172.36560534562233	included	255.27710988196338	included	233.83570389252077	included	1.056554314504465	1.3566262446828672	1.206590279593666	0.2709358650350722	4 of 4	
YAL012W	CYS3	24896.74043525759	included	24861.080900514433	included	16316.872224225059	included	15867.597977964233	included	0.6553818668213238	0.638250526654933	0.6468161967381284	-0.6285722895123812	4 of 4	
YAL013W	DEP1	622.5274050901445	included	565.4589086382964	included	1055.5759937730063	included	1107.5295941269792	included	1.695629758853997	1.9586385097266648	1.827134134290331	0.8695825495494763	4 of 4	
