systematic transcript name	expression [RPM]	transcript length[nt]	expression [RPKM]	quality tag
YAL001C	1122.4316167492998	3483	322.2600105510479	included
YAL002W	483.6008561526278	3825	126.43159637977197	included
YAL003W	93970.81080758366	621	151321.75653395115	included
YAL004W	0.0	648	0.0	excluded
YAL005C	164863.11409099505	1929	85465.5853245179	included
YAL007C	1764.2475678160595	648	2722.6042713210795	included
YAL008W	591.0677130754332	597	990.0631709806252	included
YAL009W	161.20028538420897	780	206.66703254385766	excluded
YAL010C	277.6227137172491	1482	187.32976634092384	included
YAL011W	453.7489514518482	1878	241.61286019800224	included
YAL012W	29502.637415780246	1185	24896.74043525759	included
YAL013W	758.238379399796	1218	622.5274050901445	included
YAL014C	322.40057076841833	768	419.79240985471137	included
YAL015C	289.5634755975609	1200	241.30289633130076	included
YAL016C-A	0.0	315	0.0	excluded
YAL016C-B	0.0	186	0.0	excluded
YAL016W	5895.751178403995	1908	3090.016340882597	included
YAL017W	1370.2024257657654	4071	336.5763757714973	included
YAL018C	0.0	978	0.0	excluded
YAL019W	3035.9387080692886	3396	893.9748845904854	included
YAL019W-A	0.0	570	0.0	excluded
YAL020C	253.74118995662545	1002	253.23472051559426	included
YAL021C	3355.3540883676255	2514	1334.667497361824	included
YAL022C	743.3124270494064	1554	478.32202512831816	included
YAL023C	6158.447939770872	2280	2701.073657794242	included
YAL024C	731.3716651690943	4308	169.77058151557435	included
YAL025C	2435.9154235835963	921	2644.859308994133	included
YAL026C	1525.4323302098162	4068	374.98336534164605	included
YAL026C-A	125.37799974327358	438	286.25114096637805	excluded
YAL027W	164.18547585428695	786	208.88737386041598	excluded
YAL028W	56.71861893148094	1587	35.73952043571578	excluded
YAL029C	2626.967613668593	4416	594.8749125155329	included
YAL030W	725.4012842289397	354	2049.156170138248	included
YAL031C	600.0232844856662	2283	262.82228842998956	included
YAL031W-A	0.0	309	0.0	excluded
YAL032C	435.8378086313805	1140	382.3138672205092	included
YAL033W	585.0973321352773	522	1120.8761152016807	included
