systematic gene name	gene expression [RPM]	gene length[nt]	gene expression [RPKM]	quality tag
YAL001C	942.5813871110224	3483	270.62342437870296	included
YAL002W	736.3537991974138	3825	192.51079717579444	included
YAL003W	88971.43383976351	621	143271.23001572225	included
YAL004W	0.0	648	0.0	excluded
YAL005C	202963.12650728007	1929	105216.75816862627	included
YAL007C	473.11034874298355	648	730.1085628749746	included
YAL008W	179.53931183067047	597	300.73586571301587	included
YAL009W	76.42551787386638	780	97.98143317162356	excluded
YAL010C	271.7351746626366	1482	183.3570679235065	included
YAL011W	439.143451910154	1878	233.83570389252077	included
YAL012W	18803.103603887615	1185	15867.597977964233	included
YAL013W	1348.9710456466607	1218	1107.5295941269792	included
YAL014C	391.8324170358552	768	510.1984596821031	included
YAL015C	275.37448503758264	1200	229.47873753131887	included
YAL016C-A	1.213103458315339	315	3.851122089889965	excluded
YAL016C-B	0.0	186	0.0	excluded
YAL016W	3242.625544076914	1908	1699.4892788663071	included
YAL017W	1689.8531174332743	4071	415.09533712436115	included
YAL018C	0.0	978	0.0	excluded
YAL019W	2404.3710543810125	3396	708.0008994054807	included
YAL019W-A	0.0	570	0.0	excluded
YAL020C	673.2724193650149	1002	671.9285622405339	included
YAL021C	4068.7489991896637	2514	1618.4363560818074	included
YAL022C	173.4737945390939	1554	111.63049841640533	included
YAL023C	1479.9862191447198	2280	649.1167627827718	included
YAL024C	904.975179903247	4308	210.06851901189577	included
YAL025C	3094.6269221624375	921	3360.072662499932	included
YAL026C	875.8606969036784	4068	215.3049894060173	included
YAL026C-A	42.45862104103686	438	96.93749096127135	excluded
YAL027W	150.4248288311023	786	191.38018935254746	included
YAL028W	59.44206945745158	1587	37.45562032605645	excluded
YAL029C	3289.9365789512144	4416	745.0037542914888	included
YAL030W	123.7365527481647	354	349.53828459933527	included
YAL031C	551.9620735334813	2283	241.77050965110877	included
YAL031W-A	0.0	309	0.0	excluded
YAL032C	457.34000378488446	1140	401.17544191656526	included
YAL033W	285.07931270410523	522	546.1289515404316	included
YAL034C	99.47448358185791	1242	80.09217679698705	included
YAL034C-B	0.0	354	0.0	excluded
YAL034W-A	139.5068977062642	870	160.35275598421174	included
YAL035W	14347.374601495225	3009	4768.153739280567	included
YAL036C	4735.955901263099	1110	4266.626938074864	included
YAL037C-A	0.0	93	0.0	excluded
YAL037C-B	1.213103458315339	975	1.2442086751952195	excluded
YAL037W	10.917931124838052	804	13.579516324425438	excluded
YAL038W	595836.3863103694	1503	396431.39475074474	included
YAL039C	971.6958701105884	810	1199.6245310007266	included
YAL040C	496.1593144509754	1743	284.6582412225906	included
YAL041W	1701.9841520164273	2565	663.5415797334999	included
YAL042C-A	0.0	378	0.0	excluded
YAL042W	1550.3462197270085	1248	1242.2645991402312	included
YAL043C	1168.2186303576761	2358	495.4277482432893	included
YAL044C	3634.4579611127647	513	7084.713374488821	included
YAL044W-A	151.63793228941753	333	455.3691660342869	included
YAL045C	0.0	309	0.0	excluded
YAL046C	279.0137954125284	357	781.5512476541412	included
YAL047C	156.49034612267909	1869	83.72945217906853	included
YAL047W-A	0.0	330	0.0	excluded
YAL048C	468.25793490972256	1989	235.423798345763	included
YAL049C	818.8448343628555	741	1105.0537575747037	included
YAL051W	1133.0386300665314	3144	360.3812436598382	included
YAL053W	441.56965882678503	2352	187.7422018821365	included
YAL054C	31.540689916198808	2142	14.724878578991039	excluded
YAL055W	82.4910351654431	543	151.91719183322851	included
YAL056C-A	0.0	351	0.0	excluded
YAL056W	573.7979357831575	2643	217.10099726945046	included
YAL058W	111.6055181650113	1509	73.95991926110756	included
YAL059C-A	0.0	423	0.0	excluded
YAL059W	344.52138216155686	639	539.157092584596	included
YAL060W	2957.5462313728067	1149	2574.0176078092313	included
YAL061W	140.72000116457951	1254	112.21690682980822	included
YAL062W	218.35862249676128	1374	158.92185043432409	included
YAL063C	4.852413833261356	3969	1.2225784412349097	excluded
YAL063C-A	2.426206916630678	291	8.337480813163843	excluded
YAL064C-A	1.213103458315339	381	3.183998578255483	excluded
YAL064W	1.213103458315339	285	4.256503362509961	excluded
YAL064W-B	0.0	381	0.0	excluded
YAL065C	0.0	387	0.0	excluded
YAL066W	0.0	309	0.0	excluded
YAL067C	8.491724208207373	1782	4.7652773334497045	excluded
YAL067W-A	0.0	228	0.0	excluded
YAL068C	0.0	363	0.0	excluded
YAL068W-A	0.0	255	0.0	excluded
YAL069W	1.213103458315339	315	3.851122089889965	excluded
YAR002C-A	1522.4448401857546	660	2306.7346063420528	included
YAR002W	3123.7414051620094	1620	1928.235435285191	included
YAR003W	517.9951767006513	1281	404.36781943844755	included
YAR007C	2455.321399630255	1866	1315.8206857611228	included
YAR008W	255.96482970453712	828	309.1362677591028	included
YAR009C	117.67103545658796	3591	32.76831953678306	included
YAR010C	107.96620779006521	1323	81.60711095243025	included
YAR014C	710.878626572791	2130	333.7458340717329	included
YAR015W	6431.874535987945	921	6983.577129194294	included
YAR018C	405.1765550773245	1308	309.7680084689025	included
YAR019C	532.5524182004358	2925	182.06920280356778	included
YAR019W-A	0.0	333	0.0	excluded
YAR020C	1.213103458315339	168	7.220853918543685	excluded
YAR023C	3.6393103749460174	540	6.739463657307439	excluded
YAR027W	162.55586341425567	708	229.59867713877918	included
YAR028W	104.32689741511932	705	147.9814147732189	included
YAR029W	1.213103458315339	225	5.391570925845951	excluded
YAR030C	0.0	342	0.0	excluded
